n_trees,max_depth,tournament_size,max_features,accuracy,precision,recall,f1
10,50,3,5,0.7280701754385965,1.0,0.5633802816901409,0.7207207207207207
10,50,5,5,0.8596491228070176,1.0,0.7746478873239436,0.873015873015873
10,50,7,5,0.9385964912280702,0.9705882352941176,0.9295774647887324,0.9496402877697842
20,50,3,5,0.7280701754385965,1.0,0.5633802816901409,0.7207207207207207
20,50,5,5,0.7807017543859649,1.0,0.647887323943662,0.7863247863247863
20,50,7,5,0.9210526315789473,0.9696969696969697,0.9014084507042254,0.9343065693430657
30,50,3,5,0.7368421052631579,1.0,0.5774647887323944,0.7321428571428571
30,50,5,5,0.8157894736842105,0.9807692307692307,0.7183098591549296,0.8292682926829268
30,50,7,5,0.9385964912280702,0.9705882352941176,0.9295774647887324,0.9496402877697842
