n_trees,max_depth,tournament_size,max_features,accuracy,precision,recall,f1
30,3,3,5,0.572165515420828,0.5148611336689947,0.9984010078495978,0.6793771689046053
30,3,5,5,0.47453693519292534,0.4635045106784555,0.9995396840779145,0.6333248904341953
30,3,7,5,0.46695851115315234,0.4599576507299677,0.9999030913848241,0.6300780116941209
30,5,3,5,0.5155198204936425,0.4837327259278393,0.9981587363116581,0.6516564252216344
30,5,5,5,0.4956333318667781,0.47368239553997354,0.9983525535420099,0.642514675959492
30,5,7,5,0.500351973250033,0.4760657931161761,0.999927318538618,0.6450317256899947
30,7,3,5,0.5185885872673677,0.485346348347642,0.9998304099234422,0.6534764777603598
30,7,5,5,0.49112367460073036,0.4715015251739384,0.9998788642310301,0.6408192101360951
30,7,7,5,0.49660125830436885,0.4741935113144013,0.9996365926930905,0.643250785336233
50,3,3,5,0.4879669145144969,0.46991743830680105,0.9983525535420099,0.6390422430370324
50,3,5,5,0.45577236130054116,0.4548068976915872,1.0,0.6252471010595997
50,3,7,5,0.4557173654802235,0.4547808457656625,0.999975772846206,0.625217746943969
50,5,3,5,0.49102468212415856,0.47144717899499555,0.9996608198468844,0.6407242348483672
50,5,5,5,0.4811694311232346,0.4666794808014111,0.999975772846206,0.6363706444650016
50,5,7,5,0.46780544678604424,0.46034384657436433,0.9996608198468844,0.6303921044389614
50,7,3,5,0.5251550882132958,0.488779147570493,0.999927318538618,0.6566017324625946
50,7,5,5,0.4822033525452066,0.4671767475552336,1.0,0.6368377202456259
50,7,7,5,0.472997052224031,0.4627791424117007,0.9996123655392964,0.6326619797137227
100,3,3,5,0.45436446830040916,0.4541633196518371,0.999927318538618,0.624624488282521
100,3,5,5,0.4559263495974306,0.45487706769817393,1.0,0.6253134066067249
100,3,7,5,0.45461744907387036,0.4542813119084306,1.0,0.6247502573106496
100,5,3,5,0.45944608209776056,0.4564859155708424,0.999975772846206,0.6268271384638748
100,5,5,5,0.45996304280874656,0.4567242791068228,1.0,0.6270565894417015
100,5,7,5,0.4540564917066303,0.45402646544422565,1.0,0.6245092180017702
100,7,3,5,0.49511637115579216,0.4734668593846789,0.9999515456924121,0.6426469443363176
100,7,5,5,0.46694751198908885,0.4599560948974247,1.0,0.630095790558333
100,7,7,5,0.46582559725460865,0.45943388875902985,1.0,0.6296056194086198
250,3,3,5,0.45400149588631267,0.45400149588631267,1.0,0.6244855967078189
250,3,5,5,0.45407849003475736,0.45403645403645404,1.0,0.6245186670197073
250,3,7,5,0.4540234942144397,0.4540114833798975,1.0,0.6244950450109691
250,5,3,5,0.45400149588631267,0.45400149588631267,1.0,0.6244855967078189
250,5,5,5,0.4550464164723481,0.4544763876196034,1.0,0.6249347070713188
250,5,7,5,0.4556073738395882,0.4547317395615291,1.0,0.6251760750041652
500,3,3,5,0.45400149588631267,0.45400149588631267,1.0,0.6244855967078189
500,3,5,5,0.45407849003475736,0.45403645403645404,1.0,0.6245186670197073
500,3,7,5,0.45400149588631267,0.45400149588631267,1.0,0.6244855967078189
500,5,3,5,0.45400149588631267,0.45400149588631267,1.0,0.6244855967078189
500,5,5,5,0.45450745743323506,0.45423131946737094,1.0,0.6247029800372316
500,5,7,5,0.45400149588631267,0.45400149588631267,1.0,0.6244855967078189
250,7,3,5,0.464714681684192,0.45891796935803075,1.0,0.6291210047402033
250,7,5,5,0.45634431783184476,0.45506763833610797,1.0,0.625493449715485
250,7,7,5,0.45725724844911786,0.45548444052085635,1.0,0.6258870625341177
500,7,3,5,0.45400149588631267,0.45400149588631267,1.0,0.6244855967078189
500,7,5,5,0.45513440978485636,0.45451642386002006,1.0,0.6249725563824391
500,7,7,5,0.45454045492542566,0.4542463160443285,1.0,0.6247171624679325
