n_trees,max_depth,max_split_values,max_features,accuracy,precision,recall,f1
10,3,1000,5,0.9619883040935672,0.9587138508371384,0.9812206572769954,0.9698264698264699
10,4,1000,5,0.9678362573099415,0.9638834529245489,0.9859154929577465,0.9745795416518238
10,5,1000,5,0.9649122807017544,0.958904109589041,0.9859154929577465,0.9722222222222222
10,6,1000,5,0.9649122807017544,0.9674621804903496,0.9765258215962441,0.9719623099904791
10,15,1000,5,0.9678362573099415,0.9676524392422521,0.9812206572769954,0.9743580623862315
20,3,1000,5,0.9649122807017544,0.9632130683645249,0.9812206572769954,0.9720918101199792
20,4,1000,5,0.9678362573099415,0.9590892262125138,0.9906103286384976,0.9745849297573436
20,5,1000,5,0.9678362573099415,0.9633434804667681,0.9859154929577465,0.9744884744884744
20,6,1000,5,0.9619883040935672,0.9629629629629629,0.9765258215962441,0.9696969696969697
20,15,1000,5,0.9678362573099415,0.9590892262125138,0.9906103286384976,0.9745849297573436
30,3,1000,5,0.9649122807017544,0.958904109589041,0.9859154929577465,0.9722222222222222
30,4,1000,5,0.9649122807017544,0.9588989674606112,0.9859154929577465,0.972189177361591
30,5,1000,5,0.9649122807017544,0.9631532217148656,0.9812206572769954,0.9720927220927221
30,6,1000,5,0.9736842105263158,0.9679679679679679,0.9906103286384976,0.9791174342898481
30,15,1000,5,0.9649122807017544,0.958904109589041,0.9859154929577465,0.9722222222222222
100,3,1000,5,0.9649122807017544,0.958904109589041,0.9859154929577465,0.9722222222222222
100,4,1000,5,0.9649122807017544,0.958904109589041,0.9859154929577465,0.9722222222222222
100,5,1000,5,0.9649122807017544,0.958904109589041,0.9859154929577465,0.9722222222222222
100,6,1000,5,0.9649122807017544,0.958904109589041,0.9859154929577465,0.9722222222222222
100,15,1000,5,0.9649122807017544,0.958904109589041,0.9859154929577465,0.9722222222222222
300,3,1000,5,0.9649122807017544,0.958904109589041,0.9859154929577465,0.9722222222222222
300,4,1000,5,0.9649122807017544,0.958904109589041,0.9859154929577465,0.9722222222222222
300,5,1000,5,0.9649122807017544,0.958904109589041,0.9859154929577465,0.9722222222222222
300,6,1000,5,0.9649122807017544,0.958904109589041,0.9859154929577465,0.9722222222222222
300,15,1000,5,0.9649122807017544,0.958904109589041,0.9859154929577465,0.9722222222222222
500,3,1000,5,0.9649122807017544,0.958904109589041,0.9859154929577465,0.9722222222222222
500,4,1000,5,0.9649122807017544,0.958904109589041,0.9859154929577465,0.9722222222222222
500,5,1000,5,0.9649122807017544,0.958904109589041,0.9859154929577465,0.9722222222222222
500,6,1000,5,0.9649122807017544,0.958904109589041,0.9859154929577465,0.9722222222222222
500,15,1000,5,0.9649122807017544,0.958904109589041,0.9859154929577465,0.9722222222222222
