n_trees,max_depth,tournament_size,max_split_values,max_features,accuracy,precision,recall,f1
10,3,2,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
10,3,3,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
10,3,5,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
10,3,7,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
10,4,2,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
10,4,3,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
10,4,5,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
10,4,7,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
10,5,2,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
10,5,3,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
10,5,5,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
10,5,7,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
10,6,2,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
10,6,3,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
10,6,5,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
10,6,7,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
10,7,2,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
10,7,3,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
10,7,5,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
10,7,7,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
20,3,2,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
20,3,3,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
20,3,5,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
20,3,7,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
20,4,2,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
20,4,3,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
20,4,5,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
20,4,7,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
20,5,2,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
20,5,3,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
20,5,5,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
20,5,7,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
20,6,2,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
20,6,3,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
20,6,5,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
20,6,7,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
20,7,2,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
20,7,3,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
20,7,5,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
20,7,7,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
30,3,2,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
30,3,3,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
30,3,5,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
30,3,7,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
30,4,2,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
30,4,3,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
30,4,5,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
30,4,7,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
30,5,2,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
30,5,3,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
30,5,5,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
30,5,7,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
30,6,2,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
30,6,3,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
30,6,5,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
30,6,7,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
30,7,2,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
30,7,3,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
30,7,5,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
30,7,7,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
