n_trees,max_depth,tournament_size,max_split_values,max_features,accuracy,precision,recall,f1
10,3,2,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
10,3,5,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
10,3,7,1000,5,0.6374269005847953,0.6323300606255701,1.0,0.7746746746746748
10,3,20,1000,5,0.8391812865497076,0.8068704150520339,0.9953051643192489,0.8882494218110656
10,4,2,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
10,4,5,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
10,4,7,1000,5,0.7894736842105262,0.7655014293384412,1.0,0.8621471201107803
10,4,20,1000,5,0.8187134502923975,0.8193406641936054,0.9624413145539906,0.8764596211830478
10,5,2,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
10,5,5,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
10,5,7,1000,5,0.6578947368421053,0.6459115220673365,1.0,0.7847364218150735
10,5,20,1000,5,0.9298245614035089,0.9147289972899729,0.9812206572769954,0.9461150065501395
10,6,2,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
10,6,5,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
10,6,7,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
10,6,20,1000,5,0.8625730994152047,0.8196942860832825,1.0,0.9007877364910848
10,15,2,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
10,15,5,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
10,15,7,1000,5,0.6403508771929824,0.6343404808317089,1.0,0.77614374150687
10,15,20,1000,5,0.9239766081871345,0.9197058649113443,0.9624413145539906,0.9404404404404406
20,3,2,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
20,3,5,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
20,3,7,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
20,3,20,1000,5,0.7777777777777777,0.7438095238095238,1.0,0.8511188569337974
20,4,2,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
20,4,5,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
20,4,7,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
20,4,20,1000,5,0.8421052631578947,0.8101154467175514,1.0,0.8918542568542569
20,5,2,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
20,5,5,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
20,5,7,1000,5,0.6608187134502924,0.6495281107058074,1.0,0.7869055101613242
20,5,20,1000,5,0.8888888888888888,0.8597774878596797,0.9906103286384976,0.9188166477437165
20,6,2,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
20,6,5,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
20,6,7,1000,5,0.6374269005847953,0.6323300606255701,1.0,0.7746746746746748
20,6,20,1000,5,0.9269005847953217,0.9018077562381359,0.9906103286384976,0.9440998045024891
20,15,2,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
20,15,5,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
20,15,7,1000,5,0.6959064327485381,0.678061929206094,1.0,0.8063176639863756
20,15,20,1000,5,0.9415204678362573,0.9261861927221172,0.9859154929577465,0.9546242016664551
30,3,2,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
30,3,5,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
30,3,7,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
30,3,20,1000,5,0.7690058479532164,0.737253264712319,1.0,0.8464877455318885
30,4,2,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
30,4,5,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
30,4,7,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
30,4,20,1000,5,0.7456140350877192,0.7112429488426376,1.0,0.8309120258272801
30,5,2,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
30,5,5,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
30,5,7,1000,5,0.6432748538011697,0.636388478985626,1.0,0.7776293147079665
30,5,20,1000,5,0.8538011695906432,0.8121074103439985,1.0,0.8957141938033658
30,6,2,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
30,6,5,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
30,6,7,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
30,6,20,1000,5,0.9210526315789473,0.8886833981770691,1.0,0.9407517194613968
30,15,2,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
30,15,5,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
30,15,7,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
30,15,20,1000,5,0.9502923976608186,0.9340428521250438,0.9906103286384976,0.9613187357625163
100,3,2,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
100,3,5,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
100,3,7,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
100,3,20,1000,5,0.7602339181286549,0.7245030713586992,1.0,0.839554542138508
100,4,2,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
100,4,5,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
100,4,7,1000,5,0.6374269005847953,0.6323300606255701,1.0,0.7746746746746748
100,4,20,1000,5,0.7807017543859649,0.7402697604225619,1.0,0.8505615673362398
100,5,2,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
100,5,5,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
100,5,7,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
100,5,20,1000,5,0.8947368421052632,0.8565178892673742,1.0,0.9224180992169485
100,6,2,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
100,6,5,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
100,6,7,1000,5,0.6315789473684211,0.6284178915757863,1.0,0.7717849717849719
100,6,20,1000,5,0.9093567251461988,0.879628564122235,0.9953051643192489,0.9328841790873322
100,15,2,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
100,15,5,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
100,15,7,1000,5,0.6374269005847953,0.6323300606255701,1.0,0.7746746746746748
100,15,20,1000,5,0.9298245614035087,0.899025974025974,1.0,0.9467513871487382
300,3,2,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
300,3,5,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
300,3,7,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
300,3,20,1000,5,0.7690058479532164,0.7294691072305212,1.0,0.8435709589555743
300,4,2,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
300,4,5,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
300,4,7,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
300,4,20,1000,5,0.8421052631578947,0.7982164220919842,1.0,0.8876605274644195
300,5,2,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
300,5,5,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
300,5,7,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
300,5,20,1000,5,0.8654970760233919,0.8248442046632448,1.0,0.9033624219860162
300,6,2,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
300,6,5,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
300,6,7,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
300,6,20,1000,5,0.9269005847953217,0.89508547008547,1.0,0.944604945404981
300,15,2,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
300,15,5,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
300,15,7,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
300,15,20,1000,5,0.9502923976608187,0.9262258209626631,1.0,0.961664307781278
500,3,2,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
500,3,5,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
500,3,7,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
500,3,20,1000,5,0.7631578947368421,0.7255636695864399,1.0,0.8406523415795192
500,4,2,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
500,4,5,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
500,4,7,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
500,4,20,1000,5,0.8187134502923977,0.7746268068848714,1.0,0.8729800260965573
500,5,2,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
500,5,5,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
500,5,7,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
500,5,20,1000,5,0.8947368421052632,0.8554216867469879,1.0,0.9220779220779219
500,6,2,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
500,6,5,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
500,6,7,1000,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
